line	Date	date	Time	lat	long	alt	temp
262	5/24/2009	2009-05-24	12:01:41	45.6008273	-87.2566912	122.19	28
263	5/24/2009	2009-05-24	12:15:25	45.6007078	-87.2569054	158.99	26
264	5/24/2009	2009-05-24	12:30:48	45.6006151	-87.2570255	159.28	28
265	5/24/2009	2009-05-24	12:45:19	45.600656	-87.2569554	180.03	26
266	5/24/2009	2009-05-24	13:00:48	45.6006938	-87.2580746	131.13	25
267	5/24/2009	2009-05-24	13:15:53	45.6008447	-87.2580039	132.89	26
268	5/24/2009	2009-05-24	13:30:12	45.6008793	-87.2579478	155.72	26
269	5/24/2009	2009-05-24	13:45:12	45.6009041	-87.2578783	146.03	26
270	5/24/2009	2009-05-24	14:00:28	45.6007031	-87.2580619	162.3	27
271	5/24/2009	2009-05-24	14:15:38	45.6007099	-87.2580454	154.57	27
272	5/24/2009	2009-05-24	14:32:28	45.6007075	-87.2579424	153.42	29
273	5/24/2009	2009-05-24	14:45:45	45.6007646	-87.2579259	151.41	29
274	5/24/2009	2009-05-24	15:00:13	45.6010639	-87.2584342	144.03	29
275	5/24/2009	2009-05-24	15:15:23	45.60122	-87.2588652	149.43	28
276	5/24/2009	2009-05-24	15:30:16	45.601275	-87.2601071	149.04	25
277	5/24/2009	2009-05-24	15:45:40	45.600601	-87.2615021	153.82	24
278	5/24/2009	2009-05-24	16:00:41	45.5996526	-87.2636098	143.68	23
279	5/24/2009	2009-05-24	16:15:29	45.5996595	-87.2630819	140.13	22
280	5/24/2009	2009-05-24	16:30:42	45.5985587	-87.2655938	157.77	22
281	5/24/2009	2009-05-24	16:45:37	45.5979078	-87.2655079	153.04	21
282	5/24/2009	2009-05-24	17:00:52	45.5978566	-87.2654976	153.01	22
283	5/24/2009	2009-05-24	17:16:11	45.597779	-87.2663736	182.45	23
284	5/24/2009	2009-05-24	17:31:21	45.5953609	-87.2668817	165.74	22
285	5/24/2009	2009-05-24	17:45:41	45.5946878	-87.2671366	145.23	21
286	5/24/2009	2009-05-24	18:01:16	45.5936515	-87.2675555	167.05	21
287	5/24/2009	2009-05-24	18:16:26	45.5888076	-87.2699971	166.7	19
288	5/24/2009	2009-05-24	18:31:23	45.5885845	-87.2702087	156	20
289	5/24/2009	2009-05-24	18:46:01	45.5882266	-87.2702349	176.77	21
290	5/24/2009	2009-05-24	19:01:06	45.5865768	-87.2707104	171.62	21
291	5/24/2009	2009-05-24	19:15:35	45.5859154	-87.2710414	180.65	20
292	5/24/2009	2009-05-24	19:30:19	45.5840463	-87.271838	151.79	19
293	5/24/2009	2009-05-24	19:45:16	45.5806064	-87.2734915	119.01	17
294	5/24/2009	2009-05-24	20:00:11	45.580603	-87.2734367	140.38	21
295	5/24/2009	2009-05-24	20:15:17	45.5805938	-87.27348	180.58	23
296	5/24/2009	2009-05-24	20:30:09	45.5802545	-87.2734763	133.54	20
297	5/24/2009	2009-05-24	20:45:18	45.5797901	-87.2740242	132.31	17
298	5/24/2009	2009-05-24	21:00:33	45.5788215	-87.2735287	153.81	16
299	5/24/2009	2009-05-24	21:16:01	45.5752168	-87.2742673	153.02	14
300	5/24/2009	2009-05-24	21:30:24	45.5736932	-87.274486	162.16	13
301	5/24/2009	2009-05-24	21:45:29	45.5709392	-87.2752336	189.15	12
302	5/24/2009	2009-05-24	22:00:15	45.5705025	-87.275244	163.9	13
303	5/24/2009	2009-05-24	22:15:54	45.5705326	-87.275208	173.23	16
304	5/24/2009	2009-05-24	22:30:11	45.5704782	-87.275283	162.36	17
305	5/24/2009	2009-05-24	22:45:54	45.5704413	-87.2753354	160.77	18
306	5/24/2009	2009-05-24	23:00:10	45.5705156	-87.2752275	156.89	18
307	5/24/2009	2009-05-24	23:15:17	45.5705418	-87.2752507	154.02	16
308	5/24/2009	2009-05-24	23:30:13	45.5705302	-87.2752458	141.29	15
309	5/24/2009	2009-05-24	23:45:14	45.5705025	-87.2753988	135.9	15
310	5/25/2009	2009-05-25	0:00:24	45.5705599	-87.2753665	126.85	16
311	5/25/2009	2009-05-25	0:15:43	45.5705207	-87.2754164	149.32	16
312	5/25/2009	2009-05-25	0:30:53	45.5705502	-87.2752976	144.71	15
313	5/25/2009	2009-05-25	0:45:17	45.5705311	-87.2754134	173.39	16
314	5/25/2009	2009-05-25	1:00:43	45.5704676	-87.2753013	143.91	15
315	5/25/2009	2009-05-25	1:15:22	45.5703352	-87.2753451	141.53	14
